iter	Passed	Remaining
0	148	59243
1	151	30173
2	154	20509
3	158	15667
4	161	12765
5	164	10832
6	168	9445
7	171	8386
8	174	7578
9	177	6929
10	180	6380
11	183	5924
12	186	5552
13	189	5221
14	192	4948
15	196	4706
16	199	4492
17	202	4305
18	205	4130
19	209	3977
20	212	3837
21	216	3719
22	219	3602
23	223	3498
24	226	3402
25	230	3311
26	232	3217
27	236	3137
28	239	3057
29	242	2989
30	245	2917
31	248	2856
32	251	2798
33	254	2744
34	257	2686
35	260	2633
36	263	2584
37	266	2537
38	269	2495
39	272	2450
40	275	2413
41	278	2377
42	282	2342
43	285	2308
44	288	2272
45	290	2238
46	294	2208
47	297	2180
48	300	2151
49	303	2125
50	306	2096
51	309	2071
52	312	2047
53	315	2022
54	318	1998
55	322	1978
56	325	1957
57	328	1936
58	331	1918
59	335	1900
60	338	1880
61	341	1863
62	344	1844
63	348	1827
64	351	1810
65	354	1793
66	357	1777
67	360	1761
68	363	1744
69	367	1731
70	370	1714
71	373	1699
72	375	1684
73	378	1667
74	382	1656
75	385	1643
76	388	1630
77	391	1617
78	394	1604
79	397	1591
80	400	1576
81	403	1565
82	406	1553
83	410	1542
84	413	1531
85	415	1518
86	418	1507
87	422	1496
88	424	1485
89	427	1474
90	431	1464
91	434	1454
92	437	1444
93	440	1434
94	443	1425
95	447	1415
96	450	1406
97	453	1397
98	456	1388
99	459	1379
100	463	1371
101	466	1364
102	469	1354
103	472	1345
104	475	1336
105	478	1326
106	481	1318
107	484	1311
108	488	1303
109	491	1295
110	494	1288
111	498	1280
112	501	1272
113	504	1265
114	507	1257
115	509	1248
116	513	1241
117	516	1234
118	519	1226
119	522	1219
120	525	1212
121	528	1205
122	531	1197
123	534	1190
124	537	1183
125	541	1176
126	543	1169
127	547	1162
128	550	1156
129	553	1149
130	556	1142
131	559	1136
132	562	1129
133	566	1123
134	568	1116
135	572	1110
136	575	1104
137	578	1098
138	581	1092
139	585	1086
140	588	1081
141	591	1075
142	594	1069
143	597	1062
144	600	1056
145	604	1050
146	607	1044
147	610	1039
148	612	1032
149	615	1025
150	618	1020
151	622	1015
152	625	1009
153	628	1003
154	631	998
155	634	993
156	638	987
157	641	981
158	644	976
159	647	971
160	650	965
161	653	960
162	657	955
163	660	950
164	663	945
165	667	940
166	670	935
167	673	930
168	676	924
169	679	919
170	682	914
171	686	909
172	688	903
173	691	898
174	694	893
175	697	888
176	700	882
177	703	877
178	706	872
179	709	867
180	713	862
181	716	858
182	719	853
183	723	848
184	726	844
185	730	840
186	733	835
187	736	830
188	739	825
189	743	821
190	746	817
191	750	813
192	753	808
193	756	803
194	760	799
195	763	794
196	766	790
197	770	785
198	773	781
199	777	777
200	780	772
201	783	767
202	786	763
203	789	758
204	792	754
205	796	749
206	799	745
207	802	740
208	805	736
209	808	731
210	812	727
211	815	722
212	818	718
213	821	713
214	824	709
215	827	705
216	831	700
217	834	696
218	837	692
219	839	687
220	843	682
221	846	678
222	849	674
223	853	670
224	855	665
225	858	661
226	862	657
227	865	652
228	868	648
229	871	644
230	875	640
231	878	636
232	881	631
233	884	627
234	888	623
235	891	619
236	894	615
237	897	610
238	900	606
239	903	602
240	907	598
241	910	594
242	913	589
243	916	585
244	919	581
245	922	577
246	925	573
247	929	569
248	932	565
249	935	561
250	938	557
251	941	553
252	945	549
253	948	545
254	952	541
255	956	537
256	959	534
257	963	530
258	966	526
259	969	522
260	973	518
261	976	514
262	980	510
263	983	506
264	986	502
265	989	498
266	992	494
267	995	490
268	999	486
269	1002	482
270	1005	478
271	1008	474
272	1011	470
273	1014	466
274	1018	462
275	1021	458
276	1024	454
277	1027	451
278	1030	447
279	1033	442
280	1036	439
281	1040	435
282	1043	431
283	1046	427
284	1049	423
285	1053	419
286	1056	415
287	1059	412
288	1063	408
289	1066	404
290	1070	400
291	1073	397
292	1076	393
293	1080	389
294	1083	385
295	1086	381
296	1090	378
297	1093	374
298	1096	370
299	1100	366
300	1103	362
301	1106	359
302	1109	355
303	1112	351
304	1115	347
305	1119	343
306	1122	340
307	1125	336
308	1128	332
309	1131	328
310	1134	324
311	1138	321
312	1141	317
313	1144	313
314	1148	309
315	1151	306
316	1154	302
317	1158	298
318	1161	294
319	1164	291
320	1167	287
321	1171	283
322	1174	280
323	1178	276
324	1181	272
325	1185	269
326	1188	265
327	1191	261
328	1195	257
329	1198	254
330	1201	250
331	1205	246
332	1208	243
333	1211	239
334	1214	235
335	1217	231
336	1220	228
337	1223	224
338	1227	220
339	1230	217
340	1233	213
341	1237	209
342	1241	206
343	1244	202
344	1247	198
345	1250	195
346	1254	191
347	1257	187
348	1261	184
349	1264	180
350	1268	177
351	1271	173
352	1274	169
353	1277	166
354	1280	162
355	1283	158
356	1286	155
357	1290	151
358	1293	147
359	1296	144
360	1300	140
361	1303	136
362	1307	133
363	1310	129
364	1313	125
365	1316	122
366	1320	118
367	1323	115
368	1326	111
369	1329	107
370	1333	104
371	1336	100
372	1339	96
373	1343	93
374	1346	89
375	1349	86
376	1352	82
377	1356	78
378	1359	75
379	1363	71
380	1366	68
381	1370	64
382	1373	60
383	1376	57
384	1380	53
385	1382	50
386	1385	46
387	1389	42
388	1392	39
389	1395	35
390	1398	32
391	1402	28
392	1405	25
393	1408	21
394	1411	17
395	1414	14
396	1417	10
397	1420	7
398	1423	3
399	1426	0
